=== v54-MSFT-risk (2026-08-18 16:49-18:15 ET, 30 ops, all fresh) ===
2026-08-18 16:49 ET | v54-MSFT-risk/gnews | Microsoft earnings Azure growth quarter when:30d
2026-08-18 13:37 ET | v54-ADBE-industry/bing-rss | retry follow redirect Adobe ChatGPT urls
2026-08-18 13:39 ET | v54-ADBE-industry/curl-adobeblog | Adobe for ChatGPT post body fetch
 | v54-ADBE-business/gnews | Adobe new CEO Shantanu Narayen succession 2026
2026-08-18 13:41 ET | v54-ADBE-industry/curl-adobenewsroom | newsroom index grep ChatGPT/Firefly links
 | v54-ADBE-business/gnews | Adobe CEO successor candidates August 2026
2026-08-18 13:43 ET | v54-ADBE-industry/gnews-link-decode | extract+decode Adobe for ChatGPT item url
 | v54-ADBE-business/gnews | OpenAI Sora app takedown App Store
 | v54-ADBE-business/curl-SEC | ADBE FQ1 26 press release AI-first ARR baseline
2026-08-18 17:13 ET | v54-ADBE-financial/curl-stockanalysis | ADBE forecast page FY26 EPS 24.41 FY27 27.49 + hist fwdPE row
2026-08-18 17:13 ET | v54-ADBE-financial/yahoo-chart | ADBE 6y monthly closes for fwd-PE band calc
2026-08-18 13:45 ET | v54-ADBE-industry/gnews-batchexec | decode Adobe for ChatGPT publisher url
2026-08-18 17:13 ET | v54-ADBE-financial/yahoo-chart | ADBE monthly query2 fail, retry query1
 | v54-ADBE-business/websearch | Adobe AI-first ARR 500 million Q2 FY26 analyst
 | v54-ADBE-business/gnews | Adobe AI-first ARR Firefly Express analysts raise
 | v54-ADBE-business/gnews | Canva IPO competition Adobe 2026
2026-08-18 17:14 ET | v54-ADBE-financial/ddg-news | Adobe Q2 fiscal 2026 earnings non-GAAP EPS RPO guidance
 | v54-ADBE-business/curl | Fortune ADBE Q2 2026 earnings call transcript
2026-08-18 13:48 ET | v54-ADBE-industry/curl-stockanalysis | ADBE overview next earnings date + price cross-check
2026-08-18 17:14 ET | v54-ADBE-financial/gnews-rss | Adobe Q2 FY2026 earnings press release details
2026-08-18 13:52 ET | v54-ADBE-industry/curl-pubs | martech/ppcland/diginomica/aibusiness body fetches
 | v54-ADBE-business/gnews | Adobe Q3 fiscal 2026 earnings date September 10
 | v54-ADBE-business/websearch | Adobe forward PE 5 year average median
2026-08-18 17:15 ET | v54-ADBE-financial/curl-adobenews | Q2 FY26 press release full text (non-GAAP EPS/RPO/guidance)
2026-08-18 13:56 ET | v54-ADBE-industry/sec-edgar | Figma CIK + 8-K Q2 FY26 filing index
2026-08-18 13:58 ET | v54-ADBE-industry/sec-edgar | Figma Q2 FY26 press release full text
 | v54-ADBE-business/gnews | Google Gemini Flow threat Adobe creative Photoshop AI
 | v54-ADBE-business/gnews | Morgan Stanley downgrade Adobe Sell July 2026
 | v54-ADBE-business/gnews | Adobe Topaz Labs acquisition announcement
2026-08-18 14:01 ET | v54-ADBE-industry/curl-stockanalysis | ADBE quarterly financials table
 | v54-ADBE-business/gnews | Adobe names appoints CEO August 2026
 | v54-ADBE-business/gnews | Adobe CEO search candidates David Wadhwani Anil Chakravarthy
2026-08-18 14:04 ET | v54-ADBE-industry/gnews | Canva cuts forecast third AI costs details numbers
2026-08-18 14:07 ET | v54-ADBE-industry/curl-pubs | smartcompany/startupdaily Canva body fetch
 | v54-ADBE-business/gnews | Google Nano Banana Gemini image editor Photoshop date
 | v54-ADBE-business/gnews | Adobe stock news this week August 17 2026
 | v54-ADBE-business/curl-macrotrends | ADBE PE ratio history
2026-08-18 14:11 ET | v54-ADBE-industry/gnews | OpenAI enterprise video API Sora model availability after shutdown
2026-08-18 14:14 ET | v54-ADBE-industry/curl-pubs | techcrunch Sora + the-decoder creative agent bodies
2026-08-18 14:17 ET | v54-ADBE-industry/sec-edgar | ADBE latest 10-Q segment revenue
2026-08-18 14:22 ET | v54-ADBE-industry/gnews | Adobe Semrush acquisition close + Topaz Labs deal value
2026-08-18 14:25 ET | v54-ADBE-industry/gnews | Salesforce Q1 FY27 Agentforce ARR paid customers number
2026-08-18 14:26 ET | v54-ADBE-industry/gnews | Adobe MAX 2026 conference dates Los Angeles
2026-08-18 14:29 ET | v54-ADBE-industry/curl-max | max.adobe.com dates scrape
2026-08-18 14:30 ET | v54-ADBE-industry/curl-pubs | ppcland Typeface + tnw Agentforce bodies
2026-08-18 14:33 ET | v54-ADBE-industry/gnews | Agentforce ARR dollar figure Q1 FY27
2026-08-18 14:34 ET | v54-ADBE-industry/curl-max | max.adobe.com na page date grep retry
2026-08-18 | v54-ADBE-business/final | report written ADBE-business.md
=== end v54-ADBE-business ===
2026-08-18 14:38 ET | v54-ADBE-industry/gnews | Adobe CEO successor named status August 2026
2026-08-18 14:39 ET | v54-ADBE-industry/gnews | Adobe Creative Cloud Pro tier launch pricing
2026-08-18 17:19 ET | v54-ADBE-financial/curl-macrotrends | ADBE pe-ratio + free-cash-flow + stock-based-compensation 5y
2026-08-18 17:20 ET | v54-ADBE-financial/sec-edgar | ADBE 10-Q (May-29-2026) primary source RPO/SBC/buyback
2026-08-18 | v54-ADBE-risk/gnews | Adobe new CEO 30d
2026-08-18 | v54-ADBE-risk/gnews | Adobe CFO leadership 30d
2026-08-18 | v54-ADBE-risk/gnews | Adobe Narayen 30d
2026-08-18 | v54-ADBE-risk/gnews | Adobe insider Form4 30d + earnings preview Sep26
2026-08-18 | v54-ADBE-risk/gnews | Adobe AI ARR 60d + AI-first ARR 120d
2026-08-18 | v54-ADBE-risk/ddg+bing+stocktitan+marketbeat+simplywall+thestreet+adobe-blog | 直连被拦(标缺口)
2026-08-18 | v54-ADBE-risk/curl-247 | bullish-40pct + 8/6 + 8/14 三篇正文
2026-08-18 | v54-ADBE-risk/gnews | Morgan Stanley Adobe 40d + interim CFO + CEO candidates 45d
2026-08-18 | v54-ADBE-risk/curl-futurum | Q1+Q2 FY26 正文(管理层措辞)
2026-08-18 | v54-ADBE-risk/gnews | MS/BofA/BNP + Semrush口径 + ChatGPT插件/Sora竞品
2026-08-18 | v54-ADBE-risk/cboe | ADBE期权IV期限结构+隐含财报波动12.5pct(成功)
2026-08-18 | v54-ADBE-risk/stockanalysis | 实时报价266.08+forecast共识
2026-08-18 | v54-ADBE-risk/gnews | Adobe when:2d/7d 当日catalyst+CEO近况
2026-08-18 | v54-ADBE-risk/curl-startupfortune | 双空缺时间线正文
2026-08-18 14:52 ET | v54-ADBE-industry/final | report written, 19 ops total, scratch cleaned
2026-08-18 17:22 ET | v54-ADBE-financial/curl-futurum | Adobe Q2 FY26 non-GAAP EPS guidance AI ARR details
2026-08-18 17:23 ET | v54-ADBE-financial/sec-edgar | Q4FY22-25 press releases (8-K EX-99.1) non-GAAP EPS verify
2026-08-18  | v54-AVGO-business/gnews | Broadcom FQ2 2026 earnings AI revenue results June 2026
2026-08-18  | v54-AVGO-business/gnews | Hock Tan 100 billion AI forecast six customers
2026-08-18  | v54-AVGO-business/gnews | Broadcom earnings preview September 2026 analyst
2026-08-18  | v54-AVGO-business/websearch | Broadcom Q2 FY2026 June 3 results AI revenue breakdown direct
2026-08-18  | v54-AVGO-business/gnews | MediaTek Google TPU supplier 2026
2026-08-18  | v54-AVGO-business/gnews | MediaTek TPU v9 SerDes TrendForce dates
2026-08-18  | v54-AVGO-business/websearch | Broadcom AI 72 percent growth next quarter TechStock
2026-08-18  | v54-AVGO-business/websearch | TrendForce MediaTek TPU v9 SerDes four partner supply chain
2026-08-18  | v54-AVGO-business/websearch | TrendForce MediaTek raising prices wins TPU v9 orders
2026-08-18  | v54-AVGO-business/gnews | SemiAnalysis cuts Google TPU shipment forecast MediaTek
2026-08-18  | v54-AVGO-business/gnews | Broadcom downgrade Google reduce reliance chip supplier
2026-08-18  | v54-AVGO-business/websearch | SemiAnalysis cuts Google TPU forecast biggo August 17
2026-08-18  | v54-AVGO-business/websearch | Investing.com Broadcom downgraded June 4 broker
2026-08-18  | v54-AVGO-business/sec-edgar | AVGO 10-Q FQ2 2026 segment revenue verification
2026-08-18  | v54-AVGO-business/gnews | hyperscaler capex 2026 Microsoft Google Amazon Meta AI data center
2026-08-18  | v54-AVGO-business/websearch | hyperscalers hiked capex numbers July 2026
2026-08-18  | v54-AVGO-business/gnews | Broadcom OpenAI chips only systems strategy change
2026-08-18  | v54-AVGO-business/websearch | ts2 Broadcom 370 billion financing challenge 30 billion AI orders
2026-08-18  | v54-AVGO-business/final | report written, 18 logged searches, SEC 10-Q + 12 article bodies, dual-source verified
2026-08-18 15:10 ET | v54-AVGO-risk/final | report written (22 searches, SEC-first-party E9/E4/Apple-8K/Form4), gaps marked, scratch cleaned
=== v54-BRK-financial (2026-08-18 13:42-13:55 ET, 10 ops, all fresh; WebSearch配额耗尽转curl直连) ===
2026-08-18 13:42 ET | v54-BRK-financial/WebSearch | Berkshire Hathaway Q2 2026 earnings operating profit segments (配额429, 弃用)
2026-08-18 13:43 ET | v54-BRK-financial/curl | berkshirehathaway.com/news (403反爬, 弃用)
2026-08-18 13:43 ET | v54-BRK-financial/gnews-rss | Berkshire Hathaway second quarter 2026 earnings
2026-08-18 13:43 ET | v54-BRK-financial/curl | data.sec.gov submissions CIK0001067983 (10-Q/8-K定位)
2026-08-18 13:44 ET | v54-BRK-financial/curl | SEC 10-Q brka-20260630.htm + Q1 10-Q + 8-K EX-99.1 全文
2026-08-18 13:46 ET | v54-BRK-financial/curl | SEC 13F-HR 2026-08-14 信息表56757.xml (89行持仓)
2026-08-18 13:48 ET | v54-BRK-financial/ddg | fool.com Abel 35 billion (无结果)
2026-08-18 13:48 ET | v54-BRK-financial/curl | stockanalysis.com/stocks/brk.b/ 估值双源
2026-08-18 13:48-49 ET | v54-BRK-financial/bing | CNBC/AOL文章定位×2 (未命中直链)
2026-08-18 13:49 ET | v54-BRK-financial/yahoo-rss | BRK-B headlines -> 247wallst两篇全文+fool(404)
2026-08-18 13:55 ET | v54-BRK-financial/financial_rigor | verify-market-cap/verify-valuation/cross-validate/calc×14/three-scenario
2026-08-18 17:54 ET | v54-INTU-industry/stockanalysis | INTU quote snapshot
2026-08-18 17:54 ET | v54-INTU-industry/gnews | Intuit stock news when:7d
2026-08-19 01:55 ET | v54-INTU-risk/curl | stockanalysis.com INTU quote+估值
2026-08-19 01:55 ET | v54-INTU-risk/gnews | Intuit earnings preview (gnews RSS)
2026-08-18 17:55 ET | v54-INTU-industry/yahoo-chart | INTU price verify
2026-08-19 01:55 ET | v54-INTU-risk/curl | stockanalysis.com INTU 正文数据提取
2026-08-19 01:55 ET | v54-INTU-risk/gnews | Intuit Goodarzi 管理层新闻
2026-08-18 17:55 ET | v54-INTU-industry/gnews | software stocks rally August 2026 AI fears when:7d
2026-08-18 17:55 ET | v54-INTU-industry/gnews | Intuit MongoDB Cloudflare Palantir soaring
2026-08-19 01:55 ET | v54-INTU-risk/curl | SEC EDGAR INTU Form 4 内部人交易列表
2026-08-18 17:55 ET | v54-INTU-industry/ddg | ServiceNow historic month AI fears fade software moomoo
2026-08-18 17:55 ET | v54-INTU-industry/ddg | Workday 51 billion takeover talks reset software trade thestreet
2026-08-18 17:56 ET | v54-INTU-industry/finviz | INTU quote + newslinks (curl OK)
2026-08-19 01:56 ET | v54-INTU-risk/curl | data.sec.gov submissions CIK0000896878 JSON (Form4/10-Q定位)
2026-08-19 01:56 ET | v54-INTU-risk/gnews | Intuit canceled insider stock sales Goodarzi 链接定位
2026-08-18 17:56 ET | v54-INTU-industry/finviz | INTU page (blocked, 0 bytes)
2026-08-19 01:56 ET | v54-INTU-risk/curl | SEC Form 4 8/17两份 XML 抽样
2026-08-18 17:56 ET | v54-INTU-industry/bingnews-rss | ServiceNow AI fears fade software
2026-08-19 01:56 ET | v54-INTU-risk/ddg | Goodarzi canceled insider stock sales CNBC正文
2026-08-19 01:56 ET | v54-INTU-risk/bing | Intuit insider selling cancelled 10b5-1 CNBC/Semafor定位
2026-08-18 17:56 ET | v54-INTU-industry/fool | INTU quote page news list
2026-08-18 17:57 ET | v54-INTU-industry/techcrunch | site search intuit AI agents
2026-08-18 17:57 ET | v54-INTU-industry/curl-techcrunch | OpenAI ChatGPT personal finance full text
2026-08-19 01:57 ET | v54-INTU-risk/curl | CNBC queryly API Goodarzi canceled insider
2026-08-19 01:57 ET | v54-INTU-risk/gnews | TurboTax 2026 tax season customers
2026-08-18 17:57 ET | v54-INTU-industry/curl-techcrunch | Intuit layoffs 3000 refocus AI full text
2026-08-19 01:57 ET | v54-INTU-risk/curl | CNBC 5/20裁员17%+Q3财报正文
2026-08-18 17:57 ET | v54-INTU-industry/gnews | H&R Block AI Tax Assist 2026 filing season
2026-08-18 17:57 ET | v54-INTU-industry/gnews | IRS Direct File discontinued free file vacuum
2026-08-19 01:57 ET | v54-INTU-risk/gnews | Intuit Anthropic OpenAI 合作
2026-08-18 17:57 ET | v54-INTU-industry/gnews | HR Block Tax Software AI season results
2026-08-19 01:57 ET | v54-INTU-risk/gnews | IRS Direct File 2026 TurboTax威胁
2026-08-18 17:57 ET | v54-INTU-industry/curl-cbpp | Three Strikes Against Filers full text
2026-08-18 17:58 ET | v54-INTU-industry/curl-joc | IRS ends Direct File Free File upgrades
2026-08-19 01:58 ET | v54-INTU-risk/gnews | Direct File shutdown 定位原文链接
2026-08-19 01:58 ET | v54-INTU-risk/ddg | Zacks Intuit poised beat earnings estimates 8月3日正文
2026-08-18 17:58 ET | v54-INTU-industry/gnews | Block AI Tax Assist results season
2026-08-18 17:58 ET | v54-INTU-industry/curl-thestreet | Workday 51B takeover reset software trade
2026-08-19 01:58 ET | v54-INTU-risk/ddg | MarketBeat Intuit projected earnings Tuesday 正文定位
2026-08-19 01:58 ET | v54-INTU-risk/curl | qz.com Direct File killed 2026 season 正文
2026-08-19 01:58 ET | v54-INTU-risk/bing-news | Intuit August 25 earnings preview 估计值定位
2026-08-18 17:58 ET | v54-INTU-industry/curl-stocktitan | HRB AI tax helpers millions of questions
2026-08-18 17:58 ET | v54-INTU-industry/curl-hrblock | fiscal Q3 FY26 tax season results
2026-08-19 01:58 ET | v54-INTU-risk/curl | stocktitan INTU 新闻流(8/25预览/内部人)
2026-08-19 01:58 ET | v54-INTU-risk/curl | stockanalysis INTU forecast页(FY26/27/28共识)
2026-08-19 01:59 ET | v54-INTU-risk/curl | stockanalysis INTU earnings页(Q4预期)
2026-08-19 01:59 ET | v54-INTU-risk/curl | CNBC视频页 Goodarzi canceled insider sales 摘要
2026-08-19 01:59 ET | v54-INTU-risk/curl | cboe delayed quotes INTU 期权IV尝试
2026-08-19 01:59 ET | v54-INTU-risk/curl | query1.finance.yahoo.com INTU期权链IV尝试
2026-08-19 01:59 ET | v54-INTU-risk/curl | TechCrunch 5/20裁员+AI正文
2026-08-19 02:00 ET | v54-INTU-risk/curl | semafor Goodarzi market wrong on AI 正文定位
2026-08-19 02:00 ET | v54-INTU-risk/curl | CX Dive Intuit customers spending 正文定位
2026-08-19 02:00 ET | v54-INTU-risk/bing-rss | Semafor Goodarzi AI + CX Dive税季文章定位
2026-08-19 02:00 ET | v54-INTU-risk/curl | semafor sitemap 2026/02 定位文章
2026-08-19 02:00 ET | v54-INTU-risk/curl | customerexperiencedive feed 税季客户数据
2026-08-18 18:00 ET | v54-INTU-industry/sec-edgar | HRB 8-K filings list (Q3 FY26)
2026-08-19 02:00 ET | v54-INTU-risk/curl | qz.com IRS kills Direct File 2026 season 正文
2026-08-18 18:00 ET | v54-INTU-industry/sec-edgar-fulltext | HRB Q3 FY26 earnings 8-K
2026-08-19 02:01 ET | v54-INTU-risk/gnews | IRS Direct File shutdown 全文条目(标题+摘要)
2026-08-19 02:01 ET | v54-INTU-risk/gnews | H&R Block AI tax 竞品信号
2026-08-19 02:01 ET | v54-INTU-risk/gnews | Intuit August 25 preview 摘要抓取
2026-08-18 18:01 ET | v54-INTU-industry/sec-edgar | HRB prelim FY26 results 8-K body
2026-08-19 02:01 ET | v54-INTU-risk/curl | feeds.finance.yahoo INTU headline RSS直链
2026-08-19 02:01 ET | v54-INTU-risk/curl | Yahoo/Zacks 8/18预览正文(Q4共识)
2026-08-19 02:01 ET | v54-INTU-risk/curl | Trefis 8/14期权定价正文(IV缺口补救)
2026-08-18 18:01 ET | v54-INTU-industry/gnews | Workday takeover talks private equity software M&A
2026-08-18 18:01 ET | v54-INTU-industry/gnews | Intuit Investor Day September 17 2026
2026-08-19 02:02 ET | v54-INTU-risk/curl | Barchart 8/12 'Mark Your Calendars' 正文(Q4共识)
2026-08-18 18:02 ET | v54-INTU-industry/curl-futurum | AI disruption fears overshot full text
2026-08-19 02:02 ET | v54-INTU-risk/curl | MarketBeat originals Q4预览正文尝试
2026-08-18 18:02 ET | v54-INTU-industry/curl-fool | Should You Buy Intuit Before Huge Investor Update
2026-08-19 02:02 ET | v54-INTU-risk/curl | SEC 8-K 5/20 EX-99 Q3分部数据全文
2026-08-19 02:02 ET | v54-INTU-risk/curl | SEC 8-K 4/28与6/11事件确认
2026-08-18 18:02 ET | v54-INTU-industry/curl-intuit-ir | events page investor day date
2026-08-18 18:03 ET | v54-INTU-industry/gnews | Intuit fourth quarter fiscal 2026 results August 25
2026-08-19 02:03 ET | v54-INTU-risk/curl | SEC 8-K 5/20 EX-99.01 Q3新闻稿分部数据
2026-08-18 18:03 ET | v54-INTU-industry/gnews | Xero QuickBooks small business accounting AI 2026
2026-08-18 18:03 ET | v54-INTU-industry/gnews | outcome-based pricing AI agents enterprise software
2026-08-18 18:03 ET | v54-INTU-industry/curl-cio | Great Enterprise Pricing Reset full text
2026-08-18 18:03 ET | v54-INTU-industry/gnews | QuickBooks news when:30d
2026-08-18 18:03 ET | v54-INTU-industry/curl-pymnts | QuickBooks credit hub SMB
2026-08-18 18:03 ET | v54-INTU-industry/curl-intuit-blog | AI principles OpenAI Anthropic partnership
2026-08-19 02:04 ET | v54-INTU-risk/curl | MarketBeat INTU forecast页 FY27共识
2026-08-19 02:04 ET | v54-INTU-risk/gnews | AI替代税务师/ChatGPT报税威胁
2026-08-18 18:04 ET | v54-INTU-industry/gnews | Intuit OpenAI Anthropic partnership agents
2026-08-19 02:04 ET | v54-INTU-risk/gnews | Intuit fiscal 2027 guidance consensus
2026-08-19 02:04 ET | v54-INTU-risk/gnews | Intuit class action + insider selling
2026-08-18 18:04 ET | v54-INTU-industry/curl-tradingview | software stocks sharp rebound July
2026-08-18 18:04 ET | v54-INTU-industry/curl-itjungle | Does AI mark end of ERP era
2026-08-19 02:04 ET | v54-INTU-risk/curl | SEC submissions全量 8-K/SC13 2026年2-4月定位
2026-08-19 02:04 ET | v54-INTU-risk/curl | stockanalysis statistics页 forward锚
2026-08-18 18:04 ET | v54-INTU-industry/curl-bessemer | AI pricing monetization playbook
2026-08-19 02:05 ET | v54-INTU-risk/curl | SEC 8-K 2026-03-16 停售+回购正文
2026-08-18 18:05 ET | v54-INTU-industry/sec-edgar | INTU 10-Q cover share count
2026-08-18 18:05 ET | v54-INTU-industry/curl-futurum2 | Zendesk outcome pricing agents
2026-08-19 02:05 ET | v54-INTU-risk/curl | Q3新闻稿回购/分红/现金数据
2026-08-19 02:05 ET | v54-INTU-risk/curl | advnhub Intuit Conversational AI Mid-Market正文
2026-08-18 18:05 ET | v54-INTU-industry/gnews | Mizuho Intuit price target FY27 reset details
2026-08-18 18:05 ET | v54-INTU-industry/gnews | Xero full year results 2026 subscribers
2026-08-18 18:05 ET | v54-INTU-industry/gnews | Michael Burry software not dead LLMs
2026-08-18 18:05 ET | v54-INTU-industry/gnews | Xero annual result FY26
2026-08-18 18:05 ET | v54-INTU-industry/curl-kalkine | Xero AI agent push strong results
